Date,Open,High,Low,Close,Adj Close,Volume
2019-04-11,127.000000,127.000000,124.290001,124.440002,99.164070,37658
2019-04-12,124.260002,124.750000,122.290001,123.629997,98.518585,215572
2019-04-15,122.599998,125.790001,122.599998,124.129997,98.917038,291924
2019-04-16,126.279999,127.620003,119.529999,122.550003,97.657959,685113
2019-04-17,125.510002,125.510002,121.529999,122.010002,97.227646,335812
2019-04-22,121.919998,121.930000,119.690002,120.930000,96.367020,315145
2019-04-23,120.949997,122.980003,120.029999,121.129997,96.526390,309344
2019-04-24,120.769997,123.570000,119.110001,121.720001,96.996536,374914
2019-04-25,120.010002,121.400002,117.300003,119.470001,95.203560,446303
2019-04-26,120.529999,121.800003,118.250000,120.160004,95.753418,742993
2019-04-29,121.059998,123.480003,120.010002,122.709999,97.785461,185995
2019-04-30,123.010002,123.010002,119.519997,120.930000,97.777382,877094
2019-05-02,118.500000,123.989998,115.080002,121.849998,98.521233,498182
2019-05-03,122.750000,123.989998,122.500000,122.980003,99.434898,1036546
2019-05-06,120.989998,125.489998,120.940002,123.300003,99.693626,414006
2019-05-07,122.019997,122.769997,121.000000,121.750000,98.440384,479711
2019-05-08,121.449997,122.099998,120.010002,120.529999,97.453957,929120
2019-05-09,120.500000,121.529999,118.320000,119.290001,96.451363,683802
2019-05-10,118.809998,119.559998,117.250000,119.180000,96.362427,679090
2019-05-13,117.269997,119.510002,116.440002,119.050003,96.257309,590329
2019-05-14,118.540001,121.190002,117.589996,120.190002,97.179054,730064
2019-05-15,120.489998,121.769997,118.559998,121.070000,97.890579,637048
2019-05-16,120.769997,123.220001,119.739998,120.830002,97.696518,1622964
2019-05-17,120.820000,122.440002,119.580002,120.379997,97.332672,538582
2019-05-20,120.019997,121.650002,118.400002,121.070000,97.890579,450383
2019-05-21,122.000000,122.000000,119.739998,121.559998,98.286758,659050
2019-05-22,122.150002,122.209999,120.370003,122.050003,98.682953,427305
2019-05-23,121.309998,123.870003,121.309998,123.050003,99.491501,615236
2019-05-24,123.650002,123.650002,120.720001,121.029999,97.858231,985473
2019-05-27,121.029999,121.889999,120.120003,121.180000,97.979515,140076
2019-05-28,120.500000,121.730003,119.400002,119.940002,96.976921,2743226
